time,ACCESS-CM2,ACCESS-ESM1-5,AWI-CM-1-1-MR,BCC-CSM2-MR,CAMS-CSM1-0,CAS-ESM2-0,CESM2,CESM2-WACCM,CIESM,CMCC-CM2-SR5,CNRM-CM6-1,CNRM-CM6-1-HR,CNRM-ESM2-1,CanESM5,CanESM5-CanOE,EC-Earth3,EC-Earth3-CC,EC-Earth3-Veg,EC-Earth3-Veg-LR,FGOALS-f3-L,FGOALS-g3,FIO-ESM-2-0,GFDL-CM4,GFDL-ESM4,GISS-E2-1-G,HadGEM3-GC31-LL,HadGEM3-GC31-MM,IITM-ESM,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,KIOST-ESM,MCM-UA-1-0,MIROC-ES2L,MIROC6,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NESM3,NorESM2-LM,NorESM2-MM,UKESM1-0-LL
1850-12-31,289.39615,290.17566,289.24823,289.9198,289.56442,289.81226,289.59073,289.26825,289.76624,289.5952,288.46497,287.9375,289.2877,289.18524,288.9855,289.41415,289.70425,288.9238,292.83615,288.2565,288.52118,288.8881,288.25275,288.85403,290.04257,289.11206,289.49783,293.66553,288.92203,288.75693,288.1248,289.06018,288.76013,289.01526,290.49243,290.7167,289.45178,289.00726,289.3258,289.1333,289.96625,289.53027,288.8599
1851-12-31,289.40546,290.05264,289.2059,289.96667,289.5173,289.65207,289.68347,289.0793,289.74445,289.6515,288.416,287.86472,289.46902,288.9277,288.91086,289.51544,289.83392,288.98734,292.6973,288.43912,288.31143,289.03363,288.38608,288.76685,289.84848,289.15533,289.56155,293.52673,288.89734,288.72943,288.30652,289.0293,288.6875,289.0022,290.654,290.67673,289.4757,288.99042,289.3775,289.28116,290.18668,289.5505,288.8686
1852-12-31,289.56442,289.9885,289.21494,290.13535,289.70322,289.335,289.5194,289.20346,289.58148,289.51498,288.39484,287.90656,289.39325,288.99872,288.95728,289.57144,289.711,289.12582,292.69235,288.5065,288.38068,288.97714,288.38937,288.9802,289.59113,289.23672,289.4527,293.61157,288.9187,288.6941,288.29556,289.08075,288.6146,289.10312,290.57718,290.70035,289.6731,288.99768,289.2947,289.19513,290.08795,289.4443,288.97333
1853-12-31,289.46097,290.01083,289.27402,290.06274,289.68018,289.43405,289.52078,289.14386,289.64465,289.79895,288.40616,287.94507,289.25705,289.15567,288.9201,289.38477,289.77103,289.1102,292.79178,288.2238,288.39096,288.86722,288.4246,289.02838,289.68298,289.11676,289.34976,293.70218,288.90463,288.73376,288.3708,289.1276,288.5031,289.28198,290.39066,290.75296,289.78036,289.35226,289.18878,289.06573,290.21872,289.41382,289.02448
1854-12-31,289.53168,290.12604,289.45532,290.11972,289.4311,289.77902,289.4839,289.12466,289.65994,289.75195,288.40884,287.9321,289.25998,289.01608,288.89914,289.32898,289.7899,288.94052,292.90506,288.38776,288.336,288.9,288.4646,288.81253,289.88782,288.95343,289.51804,293.76672,288.86954,288.71997,288.46613,289.04465,288.33954,289.33102,290.40503,291.0226,289.4819,289.21216,289.1496,289.1443,290.27426,289.68268,288.94537
1855-12-31,289.30005,290.02954,289.46176,289.97897,289.6856,289.64355,289.33438,289.28455,289.73187,289.7514,288.38943,288.01227,288.97745,288.96347,289.04633,289.38828,289.76144,289.01102,293.00122,288.27945,288.29623,288.9817,288.46582,288.7357,289.79645,289.1933,289.53296,293.5982,288.8401,288.79245,288.3773,289.11456,288.5605,289.28345,290.6439,291.12704,289.45233,289.06665,289.33328,289.09592,290.03827,289.67825,288.81378
1856-12-31,289.32867,290.12793,289.28806,290.03247,289.55698,289.56436,289.46173,289.3747,289.76956,289.84372,288.41974,287.8961,289.1474,289.01306,289.0917,289.57114,289.74417,289.12656,293.0009,288.27972,288.2807,288.91547,288.27094,288.96457,289.55762,289.29858,289.50015,293.72757,288.91916,288.7717,288.50354,289.1286,288.46887,288.9747,290.62582,290.65512,289.45123,289.00122,289.32953,289.11575,290.0073,289.32346,289.01013
1857-12-31,289.3897,290.0308,289.1553,290.19507,289.48303,289.6313,289.5587,289.36017,289.82974,289.87177,288.56677,287.87936,289.23688,289.00552,288.94458,289.52853,289.8371,289.11197,292.90854,288.31894,288.25793,288.90585,288.27716,289.01553,289.71466,289.27518,289.50043,293.5037,288.9117,288.77942,288.46216,289.1269,288.06223,288.931,290.67743,290.7006,289.45703,289.0814,289.2586,289.13354,290.2415,289.29446,289.0306
1858-12-31,289.30634,289.90704,289.27017,290.10822,289.70746,289.4764,289.42746,289.17526,289.76474,289.82187,288.53403,287.80472,289.05853,288.98303,288.86093,289.45166,289.78165,289.15686,292.96686,288.1124,288.32172,288.8989,288.38165,288.85382,289.86676,289.1943,289.57175,293.64398,288.9151,288.7722,288.39832,289.08698,288.2038,288.96606,290.5975,290.7446,289.48566,289.07,289.2413,289.2495,290.07257,289.28998,289.01178
1859-12-31,289.41873,289.96133,289.29108,290.27463,289.60968,289.54,289.58353,289.31943,289.87952,289.7397,288.477,287.89087,289.36343,289.11157,289.0326,289.44812,289.7361,288.97797,292.8726,288.18332,288.50665,288.8486,288.25195,288.9043,289.6535,289.215,289.61835,293.55392,288.82495,288.7578,288.51517,289.17917,288.15585,289.0482,290.5715,290.88278,289.35855,289.1201,289.41296,289.22443,289.79977,289.3177,289.05038
